k,avg_lat0,avg_lat1,avg_diff,extra_percent
1,2.193844,2.357250,0.163406,7.448399
2,4.371572,4.597325,0.225753,5.164117
3,6.538685,6.807630,0.268945,4.113132
4,8.695168,9.006139,0.310971,3.576368
5,10.841187,11.193794,0.352607,3.252478
6,12.976800,13.369547,0.392747,3.026534
7,15.102227,15.534699,0.432472,2.863629
8,17.217579,17.690291,0.472712,2.745521
9,19.323125,19.834889,0.511763,2.648449
10,21.419030,21.970769,0.551739,2.575928
11,23.505609,24.096960,0.591350,2.515784
12,25.583073,26.213860,0.630786,2.465640
13,27.651778,28.322719,0.670940,2.426391
14,29.711980,30.422337,0.710358,2.390812
15,31.764067,32.514789,0.750722,2.363432
16,33.808332,34.599044,0.790711,2.338806
17,35.845192,36.675993,0.830801,2.317746
18,37.874969,38.746120,0.871151,2.300070
19,39.898096,40.809388,0.911292,2.284050
20,41.914918,42.866744,0.951826,2.270854
21,43.925872,44.917992,0.992120,2.258623
22,45.931318,46.963947,1.032629,2.248202
23,47.931684,49.004601,1.072917,2.238430
24,49.927331,51.040740,1.113409,2.230059
25,51.918666,53.072302,1.153636,2.222006
26,53.906037,55.100014,1.193976,2.214921
27,55.889817,57.123941,1.234124,2.208138
28,57.870325,59.144351,1.274026,2.201518
29,59.847884,61.160199,1.312315,2.192751
30,61.754725,63.063720,1.308995,2.119668
31,63.529493,64.754266,1.224774,1.927882
32,65.237576,66.395778,1.158201,1.775359
33,66.947487,68.078239,1.130752,1.689013
34,68.660179,69.774126,1.113948,1.622407
35,70.376720,71.476669,1.099948,1.562944
36,72.098028,73.186181,1.088153,1.509269
37,73.825112,74.902602,1.077490,1.459516
38,75.558826,76.627096,1.068270,1.413825
39,77.300094,78.360990,1.060896,1.372438
40,79.049681,80.104319,1.054638,1.334146
41,80.808393,81.857741,1.049349,1.298564
42,82.576883,83.622088,1.045205,1.265735
43,84.355801,85.396698,1.040896,1.233936
44,86.145661,87.182787,1.037126,1.203921
45,87.946910,88.980104,1.033193,1.174792
46,89.759904,90.788579,1.028675,1.146030
47,91.584841,92.608007,1.023166,1.117178
48,93.421880,94.437553,1.015673,1.087190
49,95.270917,96.276371,1.005454,1.055363
50,97.131893,98.124667,0.992774,1.022089
51,99.004342,99.980871,0.976528,0.986349
52,100.887986,101.845346,0.957359,0.948933
53,102.781918,103.716728,0.934810,0.909508
54,104.685646,105.593464,0.907818,0.867185
55,106.597720,107.473171,0.875452,0.821267
56,108.517482,109.345158,0.827676,0.762712
57,110.442653,111.198378,0.755725,0.684269
58,112.372127,112.988291,0.616164,0.548324
59,114.298882,114.621090,0.322209,0.281900
60,116.221129,116.419686,0.198557,0.170844
