k,avg_lat0,avg_lat1,avg_diff,extra_percent
1,2.193844,2.360417,0.166574,7.592770
2,4.371572,4.605720,0.234147,5.356134
3,6.538685,6.825492,0.286807,4.386312
4,8.695168,9.039490,0.344322,3.959923
5,10.841187,11.247603,0.406415,3.748809
6,12.976800,13.451543,0.474742,3.658393
7,15.102227,15.653046,0.550819,3.647273
8,17.217579,17.852843,0.635264,3.689625
9,19.323125,20.050765,0.727639,3.765640
10,21.419030,22.248467,0.829436,3.872427
11,23.505609,24.445202,0.939593,3.997315
12,25.583073,26.641622,1.058549,4.137691
13,27.651778,28.837646,1.185868,4.288577
14,29.711980,31.034449,1.322470,4.450965
15,31.764067,33.233608,1.469541,4.626427
16,33.808332,35.430740,1.622408,4.798841
17,35.845192,37.624232,1.779040,4.963121
18,37.874969,39.810889,1.935919,5.111342
19,39.898096,41.989267,2.091171,5.241281
20,41.914918,44.154872,2.239954,5.344050
21,43.925872,46.305427,2.379555,5.417206
22,45.931318,48.442350,2.511032,5.466928
23,47.931684,50.567270,2.635586,5.498630
24,49.927331,52.682215,2.754885,5.517789
25,51.918666,54.789136,2.870470,5.528782
26,53.906037,56.889444,2.983407,5.534458
27,55.889817,58.985008,3.095192,5.538024
28,57.870325,61.079749,3.209424,5.545889
29,59.847884,63.172519,3.324635,5.555142
30,61.754725,65.183977,3.429253,5.553021
31,63.529493,67.048273,3.518781,5.538814
32,65.237576,68.878593,3.641017,5.581166
33,66.947487,70.733803,3.786316,5.655650
34,68.660179,72.593058,3.932879,5.728035
35,70.376720,74.447427,4.070707,5.784167
36,72.098028,76.293345,4.195317,5.818907
37,73.825112,78.126108,4.300996,5.825926
38,75.558826,79.942417,4.383591,5.801561
39,77.300094,81.741030,4.440935,5.745058
40,79.049681,83.518768,4.469087,5.653517
41,80.808393,85.272518,4.464126,5.524334
42,82.576883,86.999492,4.422609,5.355747
43,84.355801,88.716110,4.360309,5.168950
44,86.145661,90.455696,4.310035,5.003195
45,87.946910,92.225741,4.278831,4.865243
46,89.759904,94.036505,4.276601,4.764489
47,91.584841,95.900926,4.316085,4.712664
48,93.421880,97.833849,4.411970,4.722630
49,95.270917,99.825545,4.554629,4.780713
50,97.131893,101.844921,4.713029,4.852195
51,99.004342,103.890505,4.886163,4.935301
52,100.887986,105.956601,5.068615,5.024002
53,102.781918,108.038396,5.256478,5.114205
54,104.685646,110.128900,5.443254,5.199619
55,106.597720,112.219762,5.622043,5.274074
56,108.517482,114.307744,5.790262,5.335788
57,110.442653,116.384429,5.941776,5.379965
58,112.372127,118.432399,6.060271,5.393038
59,114.298882,120.338632,6.039750,5.284173
60,116.221129,122.047641,5.826512,5.013299
