k,max_diff,max_diff_percent
1,20.423117,13.897541
2,20.408501,6.943764
3,20.449702,4.625885
4,25.095587,4.152960
5,25.039736,3.314973
6,24.983984,2.756371
7,24.983984,2.362604
8,24.983984,2.067280
9,24.983984,1.837585
10,24.983984,1.653825
11,24.983984,1.503479
12,24.983984,1.378187
13,24.983984,1.272173
14,24.983984,1.181304
15,24.983984,1.102550
16,24.983984,1.033641
17,24.983984,0.972838
18,24.983984,0.918792
19,24.983984,0.870434
20,25.047904,0.826912
21,25.129381,0.787535
22,25.274621,0.751738
23,25.461045,0.719054
24,25.905105,0.689093
25,26.838404,0.661530
26,27.139239,0.636086
27,27.239830,0.612528
28,27.178193,0.592654
29,27.667582,0.577869
30,28.204364,0.565574
31,28.752558,0.555342
32,29.380606,0.547099
33,30.008685,0.539974
34,30.663787,0.534214
35,31.373710,0.529579
36,32.083729,0.525041
37,32.793672,0.519198
38,33.564056,0.511801
39,34.183591,0.502713
40,34.636622,0.491887
41,34.912394,0.479346
42,35.004601,0.465173
43,34.911108,0.449493
44,34.634223,0.432470
45,34.180429,0.414302
46,33.560731,0.396508
47,32.790755,0.376086
48,31.972931,0.356245
49,31.152387,0.338004
50,30.371403,0.321114
51,29.667931,0.305864
52,29.073227,0.292450
53,28.609238,0.280956
54,29.280675,0.278843
55,28.240781,0.264760
56,26.236208,0.243996
57,26.236209,0.238622
58,26.236208,0.233480
59,23.565550,0.207030
60,23.565549,0.202717
