k,max_diff,max_diff_percent
1,10.785636,5.349403
2,12.686853,4.316560
3,12.686852,2.877722
4,12.686852,2.158287
5,12.686853,1.726627
6,12.686853,1.438857
7,12.686853,1.233305
8,12.686853,1.079141
9,12.686853,0.959238
10,12.686853,0.863314
11,12.686853,0.784829
12,12.686853,0.719428
13,12.686853,0.664086
14,12.686853,0.616652
15,12.686853,0.575542
16,12.686853,0.539571
17,12.686853,0.507831
18,12.686853,0.479618
19,12.686853,0.454375
20,12.686853,0.431656
21,12.686853,0.411101
22,12.686853,0.392415
23,12.686853,0.375354
24,12.686853,0.359714
25,12.686853,0.345325
26,12.686853,0.332043
27,12.686853,0.319745
28,12.686853,0.308326
29,12.686853,0.297694
30,13.738010,0.287771
31,15.668543,0.333140
32,12.745432,0.262859
33,12.686853,0.247087
34,12.686853,0.235969
35,12.686853,0.225809
36,12.686853,0.216489
37,12.686853,0.207908
38,12.686853,0.199982
39,12.686853,0.192639
40,12.686853,0.185816
41,12.686853,0.179461
42,12.686853,0.173527
43,12.686853,0.167972
44,12.686853,0.162763
45,12.686853,0.157868
46,12.686853,0.153259
47,12.686853,0.148911
48,12.686853,0.144804
49,12.686853,0.140918
50,12.686853,0.137235
51,12.686853,0.133740
52,12.686853,0.130419
53,12.686853,0.127259
54,12.686853,0.124249
55,12.686853,0.121377
56,12.686853,0.118635
57,15.671700,0.142080
58,12.732612,0.113917
59,9.801765,0.086098
60,12.718852,0.109487
