time,src,dst,latency
0,25,759,40.551702
0,281,250,37.577259
0,228,142,41.229623
0,754,104,87.662596
0,692,758,69.464922
0,558,89,28.668660
0,604,432,72.530012
0,32,30,2.423738
0,95,223,13.628306
10,654,114,98.239499
10,25,759,40.501920
10,281,250,37.576942
10,228,142,41.229765
10,754,104,87.752692
10,692,758,69.477464
10,558,89,28.662153
10,604,432,72.503185
10,32,30,2.423688
10,95,223,13.637228
20,654,114,98.276079
20,25,759,40.454011
20,281,250,37.576586
20,228,142,41.229893
20,754,104,87.842612
20,692,758,69.490237
20,558,89,28.657194
20,604,432,72.476102
20,32,30,2.423657
20,95,223,13.646411
30,654,114,98.311368
30,25,759,40.408111
30,281,250,37.576219
30,228,142,41.229978
30,754,104,87.932346
30,692,758,69.503141
30,558,89,28.653821
30,604,432,72.448840
30,32,30,2.423617
30,95,223,13.655865
40,654,114,98.345322
40,25,759,40.364154
40,281,250,37.575874
40,228,142,41.230070
40,754,104,88.021869
40,692,758,69.516266
40,558,89,28.651989
40,604,432,72.421305
40,32,30,-1.000000
40,95,223,13.665648
50,654,114,98.378043
50,25,759,40.322226
50,281,250,37.575559
50,228,142,41.230190
50,754,104,88.111055
50,692,758,69.529541
50,558,89,28.651696
50,604,432,72.393532
50,32,30,-1.000000
50,95,223,13.675734
60,654,114,98.409447
60,25,759,40.282360
60,281,250,37.575196
60,228,142,41.230254
60,754,104,88.199983
60,692,758,69.542949
60,558,89,28.652972
60,604,432,72.365571
60,32,30,-1.000000
60,95,223,13.686046
70,654,114,98.439487
70,25,759,40.244561
70,281,250,37.574835
70,228,142,41.230340
70,754,104,88.288527
70,692,758,69.556607
70,558,89,-1.000000
70,604,432,72.337429
70,32,30,-1.000000
70,95,223,13.696692
80,654,114,98.468184
80,25,759,40.208930
80,281,250,37.574450
80,228,142,41.230417
80,754,104,88.376676
80,692,758,69.570359
80,558,89,-1.000000
80,604,432,72.309110
80,32,30,-1.000000
80,95,223,13.707542
90,654,114,98.495537
90,25,759,40.175377
90,281,250,37.574121
90,228,142,41.230458
90,754,104,88.464371
90,692,758,69.584227
90,558,89,-1.000000
90,604,432,72.280599
90,32,30,-1.000000
90,95,223,13.718684
100,654,114,98.521575
100,25,759,-1.000000
100,281,250,37.573785
100,228,142,41.230525
100,754,104,88.551649
